OBJECTID,STATE,COUNTY,TRACT,TRACT_NO,FIPS,tract_string,statename,countyname,Mean_UHI_2017,Mean_TWI_2014,Carbon_Lbs_Tract,Carbon_Lbs_Acre,Index_UHI_TWI,Shape__Area,Shape__Length
173,41,051,000701,7.01,41051000701,41051000701,Oregon,Multnomah County,3.33901490587177,9.01354466575375,6489348.70731023,18440.5315576161,2.22399524954098,15329059.0429688,16248.7343211579
174,41,051,000702,7.02,41051000702,41051000702,Oregon,Multnomah County,3.85080784680892,9.41654119401608,5851290.541235,16816.4161401028,2.76628399434291,15156748.3334961,16648.3596715379
175,41,051,000801,8.01,41051000801,41051000801,Oregon,Multnomah County,2.3234709811858,7.75314814958621,8080599.41571093,20978.6507618986,0.708108194747759,16778527.4799805,17578.6547990038
176,41,051,000802,8.02,41051000802,41051000802,Oregon,Multnomah County,3.04980697321908,8.32968622682237,7540216.70754789,22923.2061825385,1.48212065357153,14328353.6005859,17236.3063364819
177,41,051,000901,9.01,41051000901,41051000901,Oregon,Multnomah County,1.94277453593797,8.01418284754841,6888263.93873186,24733.9385866982,0.840085033123076,12131215.4829102,14001.5584165591
178,41,051,000902,9.02,41051000902,41051000902,Oregon,Multnomah County,3.02566872054724,7.60060649062135,5383492.38136887,21753.6193824972,0.778689742851714,10780040.7133789,14142.6650393202
179,41,005,023002,230.02,41005023002,41005023002,Oregon,Clackamas County,-4.52733078076024,6.43488582863782,594904035.442578,49299.9204206645,-2.65965500574285,527608656.417969,139587.598462474
180,41,051,001000,10,41051001000,41051001000,Oregon,Multnomah County,3.84277261490909,8.7725592942217,10058981.3590856,16126.7599640115,2.14904775144272,27170316.2558594,20723.5429194881
181,41,051,001101,11.01,41051001101,41051001101,Oregon,Multnomah County,4.67513454284273,8.75607250474891,2811119.93492969,6804.19961368496,2.38958755860037,17996587.0571289,23082.2717890291
182,41,051,001102,11.02,41051001102,41051001102,Oregon,Multnomah County,4.50575298457951,8.23459049506482,3227873.03387568,15746.0474274977,1.83961554056265,8929614.38916016,12352.5615132628
183,41,051,001201,12.01,41051001201,41051001201,Oregon,Multnomah County,1.20957097089673,7.00745647492986,8150273.22493951,35563.3542247008,-0.346711093215433,9982912.71728516,12828.3078365151
184,41,005,022907,229.07,41005022907,41005022907,Oregon,Clackamas County,4.90959335282401,8.82321450991196,4181660.62647581,11033.2140930463,2.52587136381911,16509524.3178711,17975.2027487673
185,41,005,022904,229.04,41005022904,41005022904,Oregon,Clackamas County,2.28018858200227,8.58321022421946,19645305.2991375,29970.9689117973,1.48718117485233,28552610.1083984,31224.6419544285
186,41,005,022905,229.05,41005022905,41005022905,Oregon,Clackamas County,-0.817972526254902,8.3393218632562,64362539.8201989,29307.3717063985,0.300456279589228,95663026.4365234,44801.8801852118
187,41,005,023001,230.01,41005023001,41005023001,Oregon,Clackamas County,-5.99952997070304,6.43821485650188,425705927.605174,69278.1768921138,-3.10975707139483,267670840.883301,91140.1580025047
188,41,005,023403,234.03,41005023403,41005023403,Oregon,Clackamas County,-5.02693049502582,6.24209750629525,99681240.9243001,44285.2939930128,-2.99751919514318,98048673.1391602,54414.7659411414
189,41,005,023404,234.04,41005023404,41005023404,Oregon,Clackamas County,-5.18345605838803,6.49130367222988,201616014.649926,60765.8397226215,-2.80781350936994,144528447.530273,79512.6869396448
190,41,067,033302,333.02,41067033302,41067033302,Oregon,Washington County,-2.65638813317595,7.87199482032504,377531783.888414,29920.8144899723,-0.711702115414489,743390703.022461,134416.945535307
191,41,005,024200,242,41005024200,41005024200,Oregon,Clackamas County,,,,,,1034308752.8667,213146.245762355
192,41,005,024000,240,41005024000,41005024000,Oregon,Clackamas County,,,,,,6802522123.29858,470615.706207744
193,41,005,024302,243.02,41005024302,41005024302,Oregon,Clackamas County,-8.76052195260041,6.02786521030525,140573777.882304,79853.4446781033,-4.35157827306658,2892280136.38623,311195.414504557
194,41,005,023901,239.01,41005023901,41005023901,Oregon,Clackamas County,,,,,,65593190.3786621,34676.1834811633
195,41,005,024303,243.03,41005024303,41005024303,Oregon,Clackamas County,,,,,,148337538.871582,92378.2202733559
196,41,005,024304,243.04,41005024304,41005024304,Oregon,Clackamas County,-11.5087692355477,6.19958518531192,489945435.952175,112057.099761741,-5.0338163270729,6982812394.63623,499431.950775061
197,41,067,031909,319.09,41067031909,41067031909,Oregon,Washington County,-0.947760377088776,6.44679590090189,28249856.4310186,40594.3527339017,-1.54616013117735,30313664.4506836,26511.001044439
198,41,067,031812,318.12,41067031812,41067031812,Oregon,Washington County,2.0782356262207,7.47333261577871,8672537.5706267,25363.9921012117,0.365482558067876,14894173.1801758,19426.1553765579
199,41,067,031912,319.12,41067031912,41067031912,Oregon,Washington County,0.820601658500678,8.21307613018014,26229811.0266066,36162.8316773354,0.68444451015923,31595159.6035156,25752.0738559463
200,41,067,031616,316.16,41067031616,41067031616,Oregon,Washington County,6.01266415054734,7.47024408993858,2700823.96166052,13702.9646108995,1.57391775608547,8585578.38232422,12955.5924135449
201,41,067,031609,316.09,41067031609,41067031609,Oregon,Washington County,2.70683543411727,7.59662987895337,42132980.3113315,30080.7590447621,0.676726979095362,61012835.6191406,33559.3228864878
202,41,067,032700,327,41067032700,41067032700,Oregon,Washington County,-2.17967065343498,7.09643737792558,644437204.852764,39194.6395488507,-1.30529183214845,2355101711.37939,282260.654645084
203,41,067,031509,315.09,41067031509,41067031509,Oregon,Washington County,-2.63516980633371,6.93751214102328,151848451.103665,32124.9195863753,-1.5972511588023,205899900.063477,68564.6895261035
204,41,067,031514,315.14,41067031514,41067031514,Oregon,Washington County,1.85293186789671,7.21226293029669,12393249.533832,18211.7911099003,0.0468890088476134,29642876.7939453,26734.4503798727
205,41,051,010305,103.05,41051010305,41051010305,Oregon,Multnomah County,-1.59094800169786,7.33136292181133,30635557.9222301,39415.1558119071,-0.899761988460359,33857147.5366211,34441.7557873051
206,41,051,009101,91.01,41051009101,41051009101,Oregon,Multnomah County,2.74454930493841,9.62138328387636,10470799.6365162,26634.80056453,2.62122227587277,17124512.4453125,20028.7312626683
